date,mobility_trend
2020-12-28,0.06094
2020-12-29,-0.04807
2020-12-30,0.13968
2020-12-31,0.15337
2021-01-01,0.10308
2021-01-02,-0.02892
2021-01-03,0.06864
2021-01-04,0.03953
2021-01-05,0.00671
2021-01-06,0.02697
2021-01-07,0.03381
2021-01-08,0.10561
2021-01-09,0.06142
2021-01-10,0.0592
2021-01-11,0.0534
2021-01-12,0.05867
2021-01-13,0.11987
2021-01-14,-0.01737
2021-01-15,0.09577
2021-01-16,0.04156
2021-01-17,0.09116
2021-01-18,0.02342
2021-01-19,0.05765
2021-01-20,0.05106
2021-01-21,0.04992
2021-01-22,0.08813
2021-01-23,0.15269
2021-01-24,0.03981
2021-01-25,0.00511
2021-01-26,0.01509
2021-01-27,0.07533
2021-01-28,0.07691
2021-01-29,0.04996
2021-01-30,0.07726
2021-01-31,0.10142
2021-02-01,0.07768
2021-02-02,0.04812
2021-02-03,0.08708
2021-02-04,0.15706
2021-02-05,0.08225
2021-02-06,0.14224
2021-02-07,0.01202
2021-02-08,-0.01878
2021-02-09,-0.0641
2021-02-10,-0.00903
2021-02-11,-0.05091
2021-02-12,0.0925
2021-02-13,0.02883
2021-02-14,0.07431
2021-02-15,0.10638
2021-02-16,0.05157
2021-02-17,0.08092
2021-02-18,0.04132
2021-02-19,0.11071
2021-02-20,0.07704
2021-02-21,0.03464
2021-02-22,0.00874
2021-02-23,-0.01539
2021-02-24,0.03311
2021-02-25,0.07
2021-02-26,0.15437
2021-02-27,0.1143
2021-02-28,0.18254
2021-03-01,0.08604
2021-03-02,0.03438
2021-03-03,0.056
2021-03-04,0.0876
2021-03-05,0.14883
2021-03-06,-0.13759
2021-03-07,0.11205
2021-03-08,0.08887
2021-03-09,0.06357
2021-03-10,0.12726
2021-03-11,0.11313
2021-03-12,0.12707
2021-03-13,0.11547
2021-03-14,0.04367
2021-03-15,0.08101
2021-03-16,0.05519
2021-03-17,0.07039
2021-03-18,0.16658
2021-03-19,0.17802
2021-03-20,0.13236
2021-03-21,0.08209
2021-03-22,0.03156
2021-03-23,0.0664
2021-03-24,0.04302
2021-03-25,0.10008
2021-03-26,0.12852
2021-03-27,0.16111
2021-03-28,0.04722
2021-03-29,0.12887
2021-03-30,0.10069
2021-03-31,0.17776
2021-04-01,-0.02419
2021-04-02,-0.01637
2021-04-03,0.11081
2021-04-04,0.0475
2021-04-05,0.0316
2021-04-06,-0.02898
2021-04-07,0.01205
2021-04-08,0.06911
2021-04-09,-0.04073
2021-04-10,-0.03291
2021-04-11,-0.06987
2021-04-12,0.05857
2021-04-13,-0.05352
2021-04-14,0.00106
2021-04-15,0.0961
2021-04-16,0.11738
2021-04-17,0.03176
2021-04-18,0.05166
2021-04-19,0.01161
2021-04-20,0.07568
2021-04-21,0.09611
2021-04-22,0.01741
2021-04-23,0.14989
2021-04-24,-0.02874
2021-04-25,0.02148
2021-04-26,0.08054
2021-04-27,0.04266
2021-04-28,0.05287
2021-04-29,-0.00818
2021-04-30,0.14019
2021-05-01,0.08889
2021-05-02,-0.01794
2021-05-03,-0.19238
2021-05-04,0.03282
2021-05-05,0.03854
2021-05-06,0.04059
2021-05-07,0.11455
2021-05-08,0.04241
2021-05-09,-0.03453
2021-05-10,0.02956
2021-05-11,-0.02393
2021-05-12,0.10298
2021-05-13,0.04763
2021-05-14,0.08813
2021-05-15,0.02708
2021-05-16,-0.02575
2021-05-17,0.02038
2021-05-18,-0.13582
2021-05-19,0.07101
2021-05-20,0.04123
2021-05-21,0.071
2021-05-22,-0.00057
2021-05-23,0.01622
2021-05-24,0.04534
2021-05-25,0.00909
2021-05-26,0.05592
2021-05-27,0.03533
2021-05-28,0.07602
2021-05-29,0.10118
2021-05-30,-0.00404
2021-05-31,0.06116
2021-06-01,0.05374
2021-06-02,0.00397
2021-06-03,0.12405
2021-06-04,0.04526
2021-06-05,0.02866
2021-06-06,0.03581
2021-06-07,-0.01709
2021-06-08,-0.0907
2021-06-09,-0.01051
2021-06-10,-0.00261
2021-06-11,0.00619
2021-06-12,0.0871
2021-06-13,0.1219
2021-06-14,-0.04886
2021-06-15,-0.00249
2021-06-16,-0.00536
2021-06-17,-0.08837
2021-06-18,0.08868
2021-06-19,0.01892
2021-06-20,-0.00473
2021-06-21,0.01126
2021-06-22,0.06059
2021-06-23,0.10153
2021-06-24,0.00328
2021-06-25,0.09595
2021-06-26,0.03168
2021-06-27,0.10241
2021-06-28,0.13203
2021-06-29,0.03788
2021-06-30,0.12915
2021-07-01,0.09099
2021-07-02,0.20361
2021-07-03,0.10236
2021-07-04,0.0914
2021-07-05,-0.00547
2021-07-06,0.08847
2021-07-07,0.0695
2021-07-08,0.10429
2021-07-09,0.07378
2021-07-10,-0.03739
2021-07-11,0.05827
2021-07-12,0.07241
2021-07-13,0.07337
2021-07-14,0.17426
2021-07-15,0.05938
2021-07-16,0.06673
2021-07-17,0.0921
2021-07-18,0.05823
2021-07-19,-0.03263
2021-07-20,0.08208
2021-07-21,0.12526
2021-07-22,0.04194
2021-07-23,0.15802
2021-07-24,0.01679
2021-07-25,-0.0622
2021-07-26,0.02643
2021-07-27,-0.04735
2021-07-28,-0.05253
2021-07-29,0.00512
2021-07-30,0.05435
2021-07-31,0.03273
2021-08-01,0.0605
2021-08-02,0.02331
2021-08-03,-0.04462
2021-08-04,-0.01352
2021-08-05,0.05314
2021-08-06,0.02884
2021-08-08,0.10274
2021-08-09,0.07403
2021-08-10,0.07267
2021-08-11,0.09016
2021-08-12,0.01785
2021-08-13,0.21629
2021-08-14,0.05683
